BTF_PRS_IDE;BTF_HIS_DTD;BTF_TAR_NAT;BTF_HIS_DTF;BTF_TAR_COF
1250;11DEC2005:00:00:00;B;28JUN2018:00:00:00;180
1251;11DEC2005:00:00:00;B;28JUN2018:00:00:00;180
1252;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60
1253;04SEP2014:00:00:00;B;08AUG2017:00:00:00;90
1254;04SEP2014:00:00:00;B;31DEC9999:00:00:00;90
1255;04SEP2014:00:00:00;B;31DEC9999:00:00:00;90
1301;11DEC2005:00:00:00;B;06FEB2009:00:00:00;60
1301;07FEB2009:00:00:00;B;31DEC9999:00:00:00;60
1302;11DEC2005:00:00:00;B;18JAN2010:00:00:00;180
1302;19JAN2010:00:00:00;B;10FEB2011:00:00:00;160
1302;11FEB2011:00:00:00;B;31MAR2019:00:00:00;150
1305;11DEC2005:00:00:00;B;31DEC9999:00:00:00;45
1307;11DEC2005:00:00:00;B;03NOV2011:00:00:00;60
1307;04NOV2011:00:00:00;B;31DEC9999:00:00:00;40
1308;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60
1309;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60
1310;11DEC2005:00:00:00;B;31DEC9999:00:00:00;30
1311;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60
1312;11DEC2005:00:00:00;B;04SEP2014:00:00:00;120
1313;11DEC2005:00:00:00;B;31DEC9999:00:00:00;30
1316;11DEC2005:00:00:00;B;31DEC9999:00:00:00;40
1317;11DEC2005:00:00:00;B;31DEC9999:00:00:00;40
1318;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60
1319;11DEC2005:00:00:00;B;31DEC9999:00:00:00;40
1323;11DEC2005:00:00:00;B;10FEB2011:00:00:00;30
1323;11FEB2011:00:00:00;B;31DEC9999:00:00:00;20
1324;11DEC2005:00:00:00;B;10FEB2011:00:00:00;60
1324;11FEB2011:00:00:00;B;31DEC9999:00:00:00;40
1326;11DEC2005:00:00:00;B;29JUN2018:00:00:00;20
1327;11DEC2005:00:00:00;B;10FEB2011:00:00:00;40
1327;11FEB2011:00:00:00;B;29JUN2018:00:00:00;30
1330;11DEC2005:00:00:00;B;28JUN2018:00:00:00;60
1331;11DEC2005:00:00:00;B;31DEC9999:00:00:00;40
1332;11DEC2005:00:00:00;B;10FEB2011:00:00:00;60
1332;11FEB2011:00:00:00;B;31DEC9999:00:00:00;50
1333;11DEC2005:00:00:00;B;31DEC9999:00:00:00;40
1334;11DEC2005:00:00:00;B;31DEC9999:00:00:00;30
1335;11DEC2005:00:00:00;B;31DEC9999:00:00:00;90
1336;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60
1337;11DEC2005:00:00:00;B;31DEC9999:00:00:00;120
1339;11DEC2005:00:00:00;B;07FEB2009:00:00:00;180
1339;08FEB2009:00:00:00;B;15MAR2011:00:00:00;150
1374;28JAN2004:00:00:00;B;07FEB2009:00:00:00;70
1374;08FEB2009:00:00:00;B;18JAN2010:00:00:00;65
1374;19JAN2010:00:00:00;B;10FEB2011:00:00:00;60
1374;11FEB2011:00:00:00;B;30JAN2012:00:00:00;50
1374;31JAN2012:00:00:00;B;13APR2018:00:00:00;45
1376;30JUL1997:00:00:00;B;31DEC9999:00:00:00;120
1377;30APR2007:00:00:00;B;13APR2018:00:00:00;70
1385;04JUL2006:00:00:00;B;07FEB2009:00:00:00;100
1385;08FEB2009:00:00:00;B;10FEB2011:00:00:00;85
1385;11FEB2011:00:00:00;B;12JUL2017:00:00:00;66
1385;13JUL2017:00:00:00;B;13APR2018:00:00:00;66
1387;28JAN2004:00:00:00;B;07FEB2009:00:00:00;70
1387;08FEB2009:00:00:00;B;18JAN2010:00:00:00;65
1387;19JAN2010:00:00:00;B;10FEB2011:00:00:00;60
1387;11FEB2011:00:00:00;B;30JAN2012:00:00:00;50
1387;31JAN2012:00:00:00;B;13APR2018:00:00:00;45
1392;28JAN2004:00:00:00;B;31DEC9999:00:00:00;70
1393;28JAN2004:00:00:00;B;31DEC9999:00:00:00;130
1394;28JAN2004:00:00:00;B;31DEC9999:00:00:00;190
1414;11DEC2005:00:00:00;B;24DEC2008:00:00:00;60
1414;25DEC2008:00:00:00;B;31DEC9999:00:00:00;60
1415;11DEC2005:00:00:00;B;24DEC2008:00:00:00;100
1415;25DEC2008:00:00:00;B;31DEC9999:00:00:00;100
1416;25DEC2008:00:00:00;B;31DEC9999:00:00:00;60
1417;25DEC2008:00:00:00;B;31DEC9999:00:00:00;50
1418;25DEC2008:00:00:00;B;31DEC9999:00:00:00;40
1419;25DEC2008:00:00:00;B;31DEC9999:00:00:00;10
1420;30MAR1997:00:00:00;B;10FEB2011:00:00:00;60
1420;11FEB2011:00:00:00;B;31JAN2019:00:00:00;40
1421;30MAR1997:00:00:00;B;10FEB2011:00:00:00;80
1421;11FEB2011:00:00:00;B;31JAN2019:00:00:00;60
1422;30MAR1997:00:00:00;B;10FEB2011:00:00:00;60
1422;11FEB2011:00:00:00;B;01FEB2019:00:00:00;40
1423;30MAR1997:00:00:00;B;01FEB2019:00:00:00;60
1424;01JAN1996:00:00:00;B;01FEB2019:00:00:00;300
1425;01JAN1996:00:00:00;B;01FEB2019:00:00:00;300
1426;01JAN1996:00:00:00;B;01FEB2019:00:00:00;500
1430;30MAR1997:00:00:00;B;10FEB2011:00:00:00;60
1430;11FEB2011:00:00:00;B;01FEB2019:00:00:00;40
1431;30MAR1997:00:00:00;B;10FEB2011:00:00:00;80
1431;11FEB2011:00:00:00;B;01FEB2019:00:00:00;60
1432;30MAR1997:00:00:00;B;01FEB2019:00:00:00;40
1433;30MAR1997:00:00:00;B;01FEB2019:00:00:00;60
1434;01JAN1996:00:00:00;B;01FEB2019:00:00:00;300
1435;01JAN1996:00:00:00;B;01FEB2019:00:00:00;300
1436;01JAN1996:00:00:00;B;01FEB2019:00:00:00;500
1437;01JAN1996:00:00:00;B;10FEB2011:00:00:00;60
1437;11FEB2011:00:00:00;B;01FEB2019:00:00:00;40
1451;01JAN1996:00:00:00;B;30JAN2012:00:00:00;40
1451;31JAN2012:00:00:00;B;31MAR2019:00:00:00;35
1452;01JAN1996:00:00:00;B;30JAN2012:00:00:00;40
1452;31JAN2012:00:00:00;B;31MAR2019:00:00:00;35
1453;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1454;27MAR1997:00:00:00;B;31DEC9999:00:00:00;40
1455;27MAR1997:00:00:00;B;31DEC9999:00:00:00;70
1456;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1457;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1458;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1459;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1460;01DEC1998:00:00:00;B;31MAR2019:00:00:00;70
1461;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1462;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1463;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1464;01JAN1996:00:00:00;B;25DEC2008:00:00:00;40
1465;01JAN1996:00:00:00;B;31DEC9999:00:00:00;80
1466;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1467;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1468;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1469;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1470;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1471;01JAN1996:00:00:00;B;31DEC9999:00:00:00;180
1472;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1473;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1474;01JAN1996:00:00:00;B;25DEC2008:00:00:00;40
1475;01JAN1996:00:00:00;B;25DEC2008:00:00:00;40
1476;01JAN1996:00:00:00;B;25DEC2008:00:00:00;70
1477;01JAN1996:00:00:00;B;25DEC2008:00:00:00;70
1478;01JAN1996:00:00:00;B;31DEC9999:00:00:00;100
1479;01JAN1996:00:00:00;B;31DEC9999:00:00:00;100
1480;01JAN1996:00:00:00;B;31DEC9999:00:00:00;180
