"nom_table";"TEC_COL";"ORG_CAI_NUM";"ORG_CAI_LIB";"ORG_BSE_NUM";"PIV_CAI_TOP";"ORG_CAI_TYP";"CPT_COP_NUM"
"IR_CAI_V";0;789;"MOA A COMPLETER";"93C789";0;"SM";NA
"IR_CAI_V";0;791;"MOA A COMPLETER";"93C791";0;"SM";NA
"IR_CAI_V";0;801;"MOA A COMPLETER";"93C801";0;"SM";NA
"IR_CAI_V";0;811;"MOA A COMPLETER";"93C811";0;"SM";NA
"IR_CAI_V";0;821;"MOA A COMPLETER";"93C821";0;"SM";NA
"IR_CAI_V";0;831;"MOA A COMPLETER";"93C831";0;"SM";NA
"IR_CAI_V";0;841;"MOA A COMPLETER";"93C841";0;"SM";NA
"IR_CAI_V";0;851;"MOA A COMPLETER";"93C851";0;"SM";NA
"IR_CAI_V";0;861;"MOA A COMPLETER";"93C861";0;"SM";NA
"IR_CAI_V";0;871;"MOA A COMPLETER";"93C871";0;"SM";NA
"IR_CAI_V";0;881;"MOA A COMPLETER";"93C881";0;"SM";NA
"IR_CAI_V";0;888;"MOA A COMPLETER";"93C888";0;"SM";NA
"IR_CAI_V";0;891;"MOA A COMPLETER";"93C891";0;"SM";NA
"IR_CAI_V";0;901;"MOA A COMPLETER";"93C901";0;"SM";NA
"IR_CAI_V";0;911;"MOA A COMPLETER";"93C911";0;"SM";NA
"IR_CAI_V";0;921;"MOA A COMPLETER";"93C921";0;"SM";NA
"IR_CAI_V";0;928;"MOA A COMPLETER";"93C928";0;"SM";NA
"IR_CAI_V";0;931;"MOA A COMPLETER";"93C931";0;"SM";NA
"IR_CAI_V";0;941;"MOA A COMPLETER";"93C941";0;"SM";NA
"IR_CAI_V";0;951;"MOA A COMPLETER";"93C951";0;"SM";NA
"IR_CAI_V";0;971;"MOA A COMPLETER";"93C971";0;"SM";NA
"IR_CAI_V";0;972;"MOA A COMPLETER";"93C972";0;"SM";NA
"IR_CAI_V";0;973;"MOA A COMPLETER";"93C973";0;"SM";NA
"IR_CAI_V";0;974;"MOA A COMPLETER";"93C974";0;"SM";NA
"IR_CAI_V";0;976;"MOA A COMPLETER";"93C976";0;"SM";NA
"IR_CAI_V";0;980;"MOA A COMPLETER";"93C980";0;"SM";NA
