BTF_PRS_IDE__BTF_HIS_DTD;BTF_PRS_IDE;BTF_HIS_DTD;BTF_TAR_NAT;BTF_HIS_DTF;BTF_TAR_COF
785__28JAN2004:00:00:00;785;28JAN2004:00:00:00;B;18JAN2010:00:00:00;80
785__19JAN2010:00:00:00;785;19JAN2010:00:00:00;B;31DEC9999:00:00:00;70
805__31JAN2005:00:00:00;805;31JAN2005:00:00:00;B;31DEC9999:00:00:00;1100
806__31JAN2005:00:00:00;806;31JAN2005:00:00:00;B;31DEC9999:00:00:00;550
812__28JAN2004:00:00:00;812;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100
812__08FEB2009:00:00:00;812;08FEB2009:00:00:00;B;12APR2014:00:00:00;90
812__13APR2014:00:00:00;812;13APR2014:00:00:00;B;19APR2016:00:00:00;89
812__20APR2016:00:00:00;812;20APR2016:00:00:00;B;31DEC9999:00:00:00;86
813__28JAN2004:00:00:00;813;28JAN2004:00:00:00;B;18JAN2010:00:00:00;110
813__19JAN2010:00:00:00;813;19JAN2010:00:00:00;B;31DEC9999:00:00:00;90
814__28JAN2004:00:00:00;814;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100
814__08FEB2009:00:00:00;814;08FEB2009:00:00:00;B;18JAN2010:00:00:00;90
814__19JAN2010:00:00:00;814;19JAN2010:00:00:00;B;12APR2014:00:00:00;80
814__13APR2014:00:00:00;814;13APR2014:00:00:00;B;31DEC9999:00:00:00;79
821__28JAN2004:00:00:00;821;28JAN2004:00:00:00;B;07FEB2009:00:00:00;100
821__08FEB2009:00:00:00;821;08FEB2009:00:00:00;B;18JAN2010:00:00:00;80
821__19JAN2010:00:00:00;821;19JAN2010:00:00:00;B;10FEB2011:00:00:00;70
821__11FEB2011:00:00:00;821;11FEB2011:00:00:00;B;12APR2014:00:00:00;65
821__13APR2014:00:00:00;821;13APR2014:00:00:00;B;31DEC9999:00:00:00;60
822__28JAN2004:00:00:00;822;28JAN2004:00:00:00;B;12APR2014:00:00:00;100
822__13APR2014:00:00:00;822;13APR2014:00:00:00;B;31DEC9999:00:00:00;90
823__28JAN2004:00:00:00;823;28JAN2004:00:00:00;B;31DEC9999:00:00:00;100
884__28JAN2004:00:00:00;884;28JAN2004:00:00:00;B;31DEC9999:00:00:00;200
901__30DEC2004:00:00:00;901;30DEC2004:00:00:00;B;31DEC9999:00:00:00;800
902__30DEC2004:00:00:00;902;30DEC2004:00:00:00;B;31DEC9999:00:00:00;1200
903__30APR2007:00:00:00;903;30APR2007:00:00:00;B;31DEC9999:00:00:00;500
904__30APR2007:00:00:00;904;30APR2007:00:00:00;B;31DEC9999:00:00:00;1000
905__30APR2007:00:00:00;905;30APR2007:00:00:00;B;31DEC9999:00:00:00;500
906__30APR2007:00:00:00;906;30APR2007:00:00:00;B;31DEC9999:00:00:00;800
907__30APR2007:00:00:00;907;30APR2007:00:00:00;B;31DEC9999:00:00:00;1200
966__28JAN2004:00:00:00;966;28JAN2004:00:00:00;B;10FEB2011:00:00:00;55
966__11FEB2011:00:00:00;966;11FEB2011:00:00:00;B;13APR2018:00:00:00;51
967__28JAN2004:00:00:00;967;28JAN2004:00:00:00;B;10FEB2011:00:00:00;55
967__11FEB2011:00:00:00;967;11FEB2011:00:00:00;B;13APR2018:00:00:00;51
968__28JAN2004:00:00:00;968;28JAN2004:00:00:00;B;10FEB2011:00:00:00;55
968__11FEB2011:00:00:00;968;11FEB2011:00:00:00;B;13APR2018:00:00:00;51
1241__13AUG1997:00:00:00;1241;13AUG1997:00:00:00;B;31DEC9999:00:00:00;60
1242__12OCT1997:00:00:00;1242;12OCT1997:00:00:00;B;31DEC9999:00:00:00;80
1245__11DEC2005:00:00:00;1245;11DEC2005:00:00:00;B;04SEP2014:00:00:00;30
